well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth
W0186,L04,239393.7538,121285.4687,1068.7835
W0187,L02,240923.0803,118380.0485,831.215
W0188,L19,239428.0445,122250.1933,912.53
W0189,L03,239651.5197,119438.1586,1004.1995
W0190,L03,239155.1896,118976.2444,952.6025
W0190,L01,239155.1896,118976.2444,952.6025
W0191,L03,240474.1214,119024.0096,1010.927
W0192,L03,240710.5945,120984.8377,1023.2705
W0193,L03,240578.091,121335.7395,1013.4425
W0194,L03,240532.4444,121984.6848,1023.9725
W0195,L03,239401.3387,120908.8705,1007.0075
W0196,L03,239092.7754,118741.0455,970.796
W0197,L04,238535.8711,118413.9293,1043.0435
W0198,L03,240495.6732,119293.3814,975.008
W0199,L01,239389.1689,119195.8537,840.2825
W0200,L01,240395.2852,120065.0913,871.2875
W0201,L01,239420.7303,119927.4839,771.9545
W0202,L01,239417.016,119903.6123,849.8765
W0203,L01,239691.7494,120657.8504,723.809
W0204,L01,239716.2009,120680.4949,849.701
W0205,L01,239319.1845,120814.6368,791.8445
W0205,L19,239319.1845,120814.6368,791.8445
W0206,L01,240240.5964,121232.8256,873.686
W0207,L01,239711.0413,121491.0087,840.8675
W0208,L04,238498.4735,119295.8165,1104.176
W0209,L01,239907.3775,122228.9448,848.999
W0210,L01,239069.1591,120380.9834,845.138
W0211,L01,240697.8841,119826.4236,821.4455
W0211,L19,240697.8841,119826.4236,821.4455
W0212,L01,239949.8404,120600.7242,890.4755
W0213,L04,238533.729,120429.9793,1023.329
W0213,L02,238533.729,120429.9793,1023.329
W0214,L03,240704.9443,120848.2302,957.224
W0215,L04,238716.6442,121422.9465,1009.64
W0215,L02,238716.6442,121422.9465,1009.64
W0216,L03,239751.9892,119468.6305,929.1557
W0216,L01,239751.9892,119468.6305,929.1557
W0217,L03,239776.8364,120123.5558,961.1435
W0218,L03,240606.5172,119753.0309,1000.982
W0219,L02,239991.2278,119291.6068,923.7035
W0220,L03,241050.5351,119293.6015,1029.296
W0221,L02,239941.3436,119818.2815,906.329
W0222,L02,239998.1039,120945.7555,929.6705
W0223,L02,239645.7891,120023.5931,918.965
W0224,L04,239685.0693,119046.0014,1049.2445
W0225,L04,239816.3131,120359.8868,1047.431
W0226,L01,240171.8394,119137.9763,864.794
W0227,L01,240305.3696,119732.4146,888.3695
W0228,L01,240287.6645,120839.9977,1203.3335
W0229,L01,239470.2784,120380.2326,844.9625
W0230,L01,240433.6481,118868.4411,899.309
W0231,L04,241048.3032,120169.1488,1091.2475
W0232,L01,239501.6878,119573.9792,860.1725
W0233,L04,239545.4474,120428.142,1251.83
W0234,L01,239570.4562,121277.5274,874.5635
W0235,L02,239194.9828,118990.8341,936.866
W0236,L02,240282.056,119365.3266,935.8715
W0237,L01,240348.0216,119720.0578,837.3575
W0238,L01,240859.1099,120049.0181,875.324
W0239,L01,240751.1907,120428.2241,884.9765
W0240,L01,239873.0826,121095.0598,870.059
W0241,L01,239877.5232,121104.1097,835.3685
W0242,L04,240707.418,121391.546,1082.531
