well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth,porosity,permeability,water_saturation
W0497,L11,239490.0225,119228.1648,1567.9055,0.3775,39.41,0.4758463
W0503,L08,239381.7714,122121.158,1462.6055,0.3525,23.64,0.5553985
W0504,L11,240240.0522,119795.2831,1586.45,0.3775,28.62,0.4389094
W0507,L12,240081.1612,118513.5006,1714.7405,0.3525,22.81,0.593846
W0509,L10,238667.6351,120529.4155,1472.4335,0.3525,32.77,0.5325393
W0512,L10,240908.7806,122343.6912,1548.3665,0.3775,22.81,0.5044931
W0513,L07,241647.7572,118025.5421,1519.292,0.39,26.96,0.5097802
W0514,L11,240247.9628,121165.1687,1561.9385,0.3775,30.28,0.4478729
W0515,L09,239534.6433,118506.2416,1455.41,0.3025,26.13,0.5851373
W0516,L09,239762.4716,118817.8851,1438.6205,0.3275,21.15,0.615049
W0519,L10,241698.905,119816.8705,1556.615,0.365,29.45,0.4733074
W0520,L10,240233.8821,119139.0554,1517.42,0.0,11.19,0.5717148
W0521,L10,240263.7474,119960.4897,1523.972,0.0,20.32,0.4849736
W0522,L10,240147.8671,120717.9548,1521.515,0.3775,30.28,0.4526868
W0523,L09,239447.1463,119282.7623,1433.0045,0.3275,26.13,0.5592751
W0524,L09,239483.8597,119297.4189,1460.2655,0.3275,26.13,0.5816065
W0525,L10,240291.4599,121595.431,1532.981,0.3275,8.7,0.554261
W0526,L09,239327.3249,120568.2177,1481.852,0.315,21.98,0.5800959
W0527,L09,241111.1294,120013.2457,1487.351,0.3525,31.94,0.5059309
W0528,L09,241288.6005,121180.6057,1497.998,0.29,24.47,0.5536877
W0529,L09,240412.6276,119070.8494,1465.9985,0.3275,32.77,0.5191623
W0530,L12,239749.747,119317.9352,1642.025,0.4025,85.06,0.4250046
W0531,L09,240335.8897,120481.1073,1473.545,0.34,27.79,0.5292178
W0532,L09,240250.1515,121900.0256,1488.9305,0.3275,24.47,0.5185617
